ComplexButton.py,10,1000,0,1000,93.10344827586206,59.011990785598755
ComplexButton.py,10,1000,1,1000,93.10344827586206,70.0012788772583
ComplexButton.py,10,1000,2,1000,93.10344827586206,69.45799207687378
ComplexButton.py,10,1000,3,1000,93.10344827586206,64.24993801116943
ComplexButton.py,10,1000,4,472,100.0,29.031598329544067
ComplexButton.py,10,1000,5,1000,93.10344827586206,63.350735902786255
ComplexButton.py,10,1000,6,1000,93.10344827586206,63.26351833343506
ComplexButton.py,10,1000,7,15,100.0,0.862572431564331
ComplexButton.py,10,1000,8,1000,93.10344827586206,62.623995542526245
ComplexButton.py,10,1000,9,761,100.0,46.62924027442932
